,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,age_group,gender,personal_status,performance
131,1,36,3,6,6887,1,3,4,3,1,3,2,29,2,2,1,3,1,2,1,2,1,1,1
20,4,9,4,0,2134,1,3,4,3,1,4,3,48,3,2,3,3,1,2,1,3,1,1,0
103,2,9,4,2,1919,1,4,4,3,1,3,3,35,3,1,1,3,1,2,1,2,1,1,0
873,4,15,2,4,874,5,2,4,2,1,1,1,24,3,2,1,3,1,1,1,1,2,2,0
363,4,6,2,2,1766,1,3,1,4,1,2,2,21,3,1,1,3,1,1,1,1,1,2,0
802,1,20,4,2,4272,1,5,1,2,1,4,2,24,3,2,2,3,1,1,1,1,2,2,0
864,4,10,2,2,2210,1,3,2,3,1,2,1,25,1,1,1,2,1,1,1,2,1,1,1
981,4,48,2,9,4844,1,1,3,3,1,2,3,33,1,1,1,4,1,2,1,2,1,1,1
776,4,36,4,0,3535,1,4,4,3,1,4,3,37,3,2,2,3,1,2,1,2,1,1,0
177,1,6,4,3,338,3,5,4,3,1,4,3,52,3,2,2,3,1,1,1,3,1,1,0
883,4,18,4,3,1098,1,1,4,2,1,4,3,65,3,2,2,1,1,1,1,4,2,2,0
282,3,18,1,3,1445,5,4,4,3,1,4,3,49,1,2,1,2,1,1,1,3,1,1,0
698,4,18,4,3,1800,1,3,4,3,1,2,3,24,3,2,2,3,1,1,1,1,1,1,0
25,1,6,2,2,1374,1,3,1,3,1,2,1,36,1,2,1,2,1,2,1,2,1,1,0
214,4,36,4,3,3342,5,5,4,3,1,2,3,51,3,2,1,3,1,2,1,3,1,1,0
110,2,6,3,9,1449,2,5,1,1,1,2,3,31,1,2,2,3,2,1,1,2,1,2,0
237,2,21,2,9,2767,2,5,4,1,1,2,3,61,1,1,2,2,1,1,1,4,1,2,1
234,4,4,4,3,1544,1,4,2,3,1,1,1,42,3,2,3,2,2,1,1,3,1,1,0
51,2,27,3,1,5965,1,5,1,3,1,2,3,30,3,2,2,4,1,2,1,2,1,1,0
59,1,36,4,2,6229,1,2,4,2,2,4,4,23,3,1,2,2,1,2,1,1,2,2,1
818,1,36,2,10,15857,1,1,2,1,2,3,3,43,3,2,1,4,1,1,1,3,1,2,0
299,2,21,4,2,2745,4,4,3,3,1,2,3,32,3,2,2,3,1,2,1,2,1,1,0
205,1,30,4,1,10623,1,5,3,3,1,4,4,38,3,3,3,4,2,2,1,2,1,1,0
227,1,12,2,2,7865,1,5,4,3,1,4,4,53,3,3,1,4,1,2,1,3,1,1,1
45,4,11,4,0,1393,1,2,4,2,1,4,3,35,3,2,2,4,1,1,1,2,2,2,0
516,1,6,4,0,1361,1,2,2,3,1,4,1,40,3,2,1,2,2,1,2,3,1,1,0
413,4,10,2,0,1597,3,3,3,3,1,2,4,40,3,1,1,2,2,1,2,3,1,1,0
329,2,6,2,3,1068,1,5,4,3,1,4,3,28,3,2,1,3,2,1,1,2,1,1,0
264,4,10,4,0,1231,1,5,3,3,1,4,1,32,3,2,2,2,2,1,2,2,1,1,0
688,4,9,2,3,2753,2,5,3,3,2,4,3,35,3,2,1,3,1,2,1,2,1,1,0
908,4,15,3,1,3594,1,2,1,2,1,2,2,46,3,2,2,2,1,1,1,3,2,2,0
18,2,24,2,1,12579,1,5,4,2,1,2,4,44,3,3,1,4,1,2,1,3,2,2,1
178,4,12,2,3,1963,1,4,4,3,1,2,3,31,3,1,2,4,2,2,1,2,1,1,0
919,1,24,2,2,3345,1,5,4,3,1,2,2,39,3,1,1,4,1,2,1,2,1,1,1
934,1,12,2,3,1498,1,3,4,2,1,1,3,23,1,2,1,3,1,1,1,1,2,2,0
337,1,15,2,4,1275,5,3,4,2,1,2,3,24,3,1,1,3,1,1,1,1,2,2,1
349,2,9,4,6,1136,4,5,4,3,1,3,4,32,3,3,2,3,2,1,1,2,1,1,1
448,3,12,2,2,1424,5,5,3,2,1,4,1,55,3,2,1,4,1,2,1,3,2,2,0
681,4,12,2,3,2279,5,3,4,3,1,4,4,37,3,3,1,3,1,2,1,2,1,1,0
196,4,6,4,3,1382,1,3,1,2,1,1,3,28,3,2,2,3,1,2,1,2,2,2,0
397,1,36,4,2,2348,1,3,3,4,1,2,2,46,3,2,2,3,1,2,1,3,1,2,0
153,2,24,4,1,7758,4,5,2,2,1,4,4,29,3,1,1,3,1,1,1,2,2,2,0
929,1,12,3,0,1344,1,3,4,3,1,2,1,43,3,2,2,2,2,1,1,3,1,1,0
599,4,24,3,9,3863,1,3,1,3,1,2,4,32,3,3,1,3,1,1,1,2,1,1,0
853,1,18,1,0,1442,1,4,4,3,1,4,4,32,3,3,2,2,2,1,1,2,1,1,1
470,2,24,2,3,3092,2,2,3,4,1,2,3,22,3,1,1,3,1,2,1,1,1,2,1
143,1,18,2,2,2462,1,3,2,3,1,2,3,22,3,2,1,3,1,1,1,1,1,1,1
593,2,24,2,0,2718,1,3,3,2,1,4,2,20,3,1,1,2,1,2,1,1,2,2,1
247,4,6,0,0,1204,2,3,4,3,1,1,4,35,1,1,1,3,1,1,2,2,1,1,0
777,1,18,2,3,3509,1,4,4,2,3,1,1,25,3,2,1,3,1,1,1,2,2,2,0
450,4,36,4,1,11054,5,3,4,3,1,2,3,30,3,2,1,4,1,2,1,2,1,1,0
719,2,20,0,1,6148,2,5,3,4,1,4,3,31,1,2,2,3,1,2,1,2,1,2,0
817,4,6,4,3,1554,1,4,1,2,1,2,3,24,3,1,2,3,1,2,1,1,2,2,0
443,4,12,2,6,719,1,5,4,3,1,4,3,41,1,2,1,2,2,1,1,3,1,1,1
861,4,18,3,9,2169,1,3,4,4,1,2,3,28,3,2,1,3,1,2,1,2,1,2,1
107,2,12,2,0,6078,1,4,2,3,1,2,3,32,3,2,1,3,1,1,1,2,1,1,0
849,1,12,2,3,709,1,5,4,3,1,4,1,57,2,2,1,2,1,1,1,3,1,1,1
739,2,30,0,9,4280,2,3,4,2,1,4,3,26,3,1,2,2,1,1,1,2,2,2,1
263,4,12,4,6,2748,1,5,2,2,1,4,4,57,1,3,3,2,1,1,1,3,2,2,0
664,3,6,4,6,1047,1,3,2,2,1,4,2,50,3,2,1,2,1,1,1,3,2,2,0
643,4,24,4,3,1851,1,4,4,4,3,2,3,33,3,2,2,3,1,2,1,2,1,2,0
106,4,18,1,0,6458,1,5,2,3,1,4,4,39,1,2,2,4,2,2,1,2,1,1,1
521,1,18,2,3,3190,1,3,2,2,1,2,1,24,3,2,1,3,1,1,1,1,2,2,1
404,2,18,3,0,2899,5,5,4,3,1,4,3,43,3,2,1,3,2,1,1,3,1,1,0
365,4,12,2,9,1542,1,4,2,3,1,4,3,36,3,2,1,3,1,2,1,2,1,1,0
127,2,12,2,5,639,1,3,4,3,1,2,3,30,3,2,1,3,1,1,1,2,1,1,1
812,1,36,4,1,9629,1,4,4,3,1,4,3,24,3,2,2,3,1,2,1,1,1,1,1
662,4,21,2,2,2241,1,5,4,3,1,2,1,50,3,2,2,3,1,1,1,3,1,1,0
998,1,45,2,3,1845,1,3,4,3,1,4,4,23,3,3,1,3,1,2,1,1,1,1,1
774,3,12,4,0,1480,3,1,2,3,1,4,4,66,1,3,3,1,1,1,1,4,1,1,0
79,2,30,2,2,3832,1,2,2,4,1,1,2,22,3,2,1,3,1,1,1,1,1,2,0
162,4,15,2,4,1262,3,4,4,3,1,3,2,36,3,2,2,3,1,2,1,2,1,1,0
501,1,36,2,1,5493,1,5,2,3,1,4,4,42,3,3,1,3,2,1,1,3,1,1,0
209,4,12,2,1,1413,4,4,3,3,1,2,2,55,3,2,1,3,1,1,2,3,1,1,0
